Collection Name,Collection Summary,Family Name,Family Summary,Family Publication Date,Family URL,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Geographies,Category,Languages,Source
,,The Status of Wind In Africa,"The Global Wind Energy Council (GWEC) has produced “The Status of Wind in Africa” report to take stock of wind energy’s footprint, the role wind currently plays and its bright future prospects across the Continent. The report maps out the Africa’s current installed wind power plants of capacity greater than 1MW, provides readers a better understanding of the current state of project activity in Africa’s wind space and points to the future by highlighting the pipeline of announced projects and various drivers of new wind capacity installations.",2023-10-01T00:00:00+00:00,https://app.climatepolicyradar.org/document/the-status-of-wind-in-africa_e7d2,The Status of Wind In Africa,https://app.climatepolicyradar.org/documents/the-status-of-wind-in-africa_9b6f,https://cdn.climatepolicyradar.org/navigator/AGO/2023/the-status-of-wind-in-africa_de5515241ae19c0ee6b99ad048f1bf75.pdf,Other,n/a,AGO;BWA;CMR;CPV;DJI;DZA;EGY;ERI;ETH;GHA;KEN;LBY;MAR;MDG;MLI;MRT;MUS;MWI;NAM;NER;NGA;SDN;SEN;SOM;SSD;SYC;TCD;TUN;TZA;UGA;ZAF;ZMB;ZWE,Reports,English,OEP
,,BDRP: Promoting Climate Resilient Urban Infrastructure in Lake Victoria Water and Sanitation Project – Phase III,BDRP: Promoting Climate Resilient Urban Infrastructure in Lake Victoria Water and Sanitation Project – Phase III implemented by African Development Bank (AFDB),2023-08-22T00:00:00+00:00,https://app.climatepolicyradar.org/document/bdrp-promoting-climate-resilient-urban-infrastructure-in-lake-victoria-water-and-sanitation-project-phase-iii_d179,BDRP: Promoting Climate Resilient Urban Infrastructure in Lake Victoria Water and Sanitation Project – Phase III,https://app.climatepolicyradar.org/documents/bdrp-promoting-climate-resilient-urban-infrastructure-in-lake-victoria-water-and-sanitation-project-phase-iii_6827,https://cdn.climatepolicyradar.org/navigator/UGA/2023/bdrp-promoting-climate-resilient-urban-infrastructure-in-lake-victoria-water-and-sanitation-project-phase-iii_95d8c28a5df174dfd9dc57f3f235fecb.pdf,,n/a,UGA,MCF,English,CIF
,,KawiSafi II,"The African continent collectively contributes only about 3% of the yearly global human-induced greenhouse gas (GHG) emissions. However, the region is projected to experience more severe impacts from human-induced climate change than almost anywhere else on the planet. Sub-Saharan countries face temperature increases above that of the global average potentially impacting health, agriculture, food security, economic development and human welfare in a region that is already challenged on most of these issues. Solving the problem of climate change will require substantial investments in Africa’s infrastructure, manufacturing capacity and economy to bolster overall adaptation and mitigation levels on the continent.  

The KawiSafi II project will create a USD 200 million venture equity fund aimed at closing the investment gap in three key areas where sub-Saharan countries struggle to find investors:  energy transition, productivity, and mobility & logistics. Standing on the shoulders of the first KawiSafi project, the fund will invest in local enterprises developing scalable climate action projects to the benefit of climate-endangered African communities. Beyond funding, KawiSafi II will establish a USD 10 million technical assistance facility to enable these entities to maximise their climate impact while ensuring the implementation of robust management systems to address any potential environmental, social and governance risks that may arise.",2023-07-13T00:00:00+00:00,https://app.climatepolicyradar.org/document/kawisafi-ii_82af,KawiSafi II,https://app.climatepolicyradar.org/documents/kawisafi-ii_817f,https://cdn.climatepolicyradar.org/navigator/COD/2023/kawisafi-ii_16f69cab417eaf67eb9efe987d035fa4.pdf,Approved funding proposal,n/a,CIV;COD;KEN;NGA;RWA;UGA;ZMB,MCF,English,GCF
,,KawiSafi II,"The African continent collectively contributes only about 3% of the yearly global human-induced greenhouse gas (GHG) emissions. However, the region is projected to experience more severe impacts from human-induced climate change than almost anywhere else on the planet. Sub-Saharan countries face temperature increases above that of the global average potentially impacting health, agriculture, food security, economic development and human welfare in a region that is already challenged on most of these issues. Solving the problem of climate change will require substantial investments in Africa’s infrastructure, manufacturing capacity and economy to bolster overall adaptation and mitigation levels on the continent.  

The KawiSafi II project will create a USD 200 million venture equity fund aimed at closing the investment gap in three key areas where sub-Saharan countries struggle to find investors:  energy transition, productivity, and mobility & logistics. Standing on the shoulders of the first KawiSafi project, the fund will invest in local enterprises developing scalable climate action projects to the benefit of climate-endangered African communities. Beyond funding, KawiSafi II will establish a USD 10 million technical assistance facility to enable these entities to maximise their climate impact while ensuring the implementation of robust management systems to address any potential environmental, social and governance risks that may arise.",2023-07-13T00:00:00+00:00,https://app.climatepolicyradar.org/document/kawisafi-ii_82af,Gender assessment for FP210: KawiSafi II,https://app.climatepolicyradar.org/documents/gender-assessment-for-fp210-kawisafi-ii_e134,https://cdn.climatepolicyradar.org/navigator/COD/2023/kawisafi-ii_820045fcab9ed35d47ee21524b7d3dca.pdf,Gender assessment,n/a,CIV;COD;KEN;NGA;RWA;UGA;ZMB,MCF,English,GCF
,,KawiSafi II,"The African continent collectively contributes only about 3% of the yearly global human-induced greenhouse gas (GHG) emissions. However, the region is projected to experience more severe impacts from human-induced climate change than almost anywhere else on the planet. Sub-Saharan countries face temperature increases above that of the global average potentially impacting health, agriculture, food security, economic development and human welfare in a region that is already challenged on most of these issues. Solving the problem of climate change will require substantial investments in Africa’s infrastructure, manufacturing capacity and economy to bolster overall adaptation and mitigation levels on the continent.  

The KawiSafi II project will create a USD 200 million venture equity fund aimed at closing the investment gap in three key areas where sub-Saharan countries struggle to find investors:  energy transition, productivity, and mobility & logistics. Standing on the shoulders of the first KawiSafi project, the fund will invest in local enterprises developing scalable climate action projects to the benefit of climate-endangered African communities. Beyond funding, KawiSafi II will establish a USD 10 million technical assistance facility to enable these entities to maximise their climate impact while ensuring the implementation of robust management systems to address any potential environmental, social and governance risks that may arise.",2023-07-13T00:00:00+00:00,https://app.climatepolicyradar.org/document/kawisafi-ii_82af,Gender action plan for FP210: KawiSafi II,https://app.climatepolicyradar.org/documents/gender-action-plan-for-fp210-kawisafi-ii_5c87,https://cdn.climatepolicyradar.org/navigator/COD/2023/kawisafi-ii_07f50f20dc41da0cca0f298b7e535f7e.pdf,Gender action plan,n/a,CIV;COD;KEN;NGA;RWA;UGA;ZMB,MCF,English,GCF
,,Hardest-to-Reach,"560 million people in the sub-Saharan region live without electricity and will continue to do so in the foreseeable future without adequate intervention. Investment barriers such as risky and nascent market, hard-to-reach locality, and lack of supporting infrastructure keep traditional off-grid solar companies from investing in projects that could benefit hard-to-reach communities. The unelectrified communities of these countries risk being trapped in energy poverty and climate vulnerability. Delivering clean, affordable, and climate-resilient energy to these vulnerable communities will be a crucial component of climate action not only in the sub-Saharan region, but for the African continent.

The H2R programme aims to provide affordable and green energy access to first-time users in low-income populations in 17 countries in Africa. The programme will support off-grid solar companies to enter and grow in these underserved markets by providing flexible financing that matches the needs of the companies. The programme seeks to mobilise a blend of donor and private finance to deliver off-grid solar solutions to least developed communities via pay-as-you-go financing methods. The goal is to close a historically persistent energy gap in sub-Saharan countries, thereby contributing to a more just and inclusive energy systems transition.

Technical assistance through the GCF Project Preparation Facility (PPF) was deployed to support the Accredited Entity in the development of this project's funding proposal (FP).",2023-07-13T00:00:00+00:00,https://app.climatepolicyradar.org/document/hardest-to-reach_2168,Gender assessment for FP211: Hardest-to-Reach,https://app.climatepolicyradar.org/documents/gender-assessment-for-fp211-hardest-to-reach_28cc,https://cdn.climatepolicyradar.org/navigator/BDI/2023/hardest-to-reach_c920acef9194ab1ccfac718b8f6be124.pdf,Gender assessment,n/a,BDI;BEN;BFA;COD;GIN;GNB;LBR;LSO;MOZ;MWI;NER;SLE;SOM;TCD;TGO;UGA;ZMB,MCF,English,GCF
,,Hardest-to-Reach,"560 million people in the sub-Saharan region live without electricity and will continue to do so in the foreseeable future without adequate intervention. Investment barriers such as risky and nascent market, hard-to-reach locality, and lack of supporting infrastructure keep traditional off-grid solar companies from investing in projects that could benefit hard-to-reach communities. The unelectrified communities of these countries risk being trapped in energy poverty and climate vulnerability. Delivering clean, affordable, and climate-resilient energy to these vulnerable communities will be a crucial component of climate action not only in the sub-Saharan region, but for the African continent.

The H2R programme aims to provide affordable and green energy access to first-time users in low-income populations in 17 countries in Africa. The programme will support off-grid solar companies to enter and grow in these underserved markets by providing flexible financing that matches the needs of the companies. The programme seeks to mobilise a blend of donor and private finance to deliver off-grid solar solutions to least developed communities via pay-as-you-go financing methods. The goal is to close a historically persistent energy gap in sub-Saharan countries, thereby contributing to a more just and inclusive energy systems transition.

Technical assistance through the GCF Project Preparation Facility (PPF) was deployed to support the Accredited Entity in the development of this project's funding proposal (FP).",2023-07-13T00:00:00+00:00,https://app.climatepolicyradar.org/document/hardest-to-reach_2168,Hardest-to-Reach,https://app.climatepolicyradar.org/documents/hardest-to-reach_0d99,https://cdn.climatepolicyradar.org/navigator/SLE/2023/hardest-to-reach_8428fe29902828688d71ed8a27fecf45.pdf,Approved funding proposal,n/a,BDI;BEN;BFA;COD;GIN;GNB;LBR;LSO;MOZ;MWI;NER;SLE;SOM;TCD;TGO;UGA;ZMB,MCF,English,GCF
,,Hardest-to-Reach,"560 million people in the sub-Saharan region live without electricity and will continue to do so in the foreseeable future without adequate intervention. Investment barriers such as risky and nascent market, hard-to-reach locality, and lack of supporting infrastructure keep traditional off-grid solar companies from investing in projects that could benefit hard-to-reach communities. The unelectrified communities of these countries risk being trapped in energy poverty and climate vulnerability. Delivering clean, affordable, and climate-resilient energy to these vulnerable communities will be a crucial component of climate action not only in the sub-Saharan region, but for the African continent.

The H2R programme aims to provide affordable and green energy access to first-time users in low-income populations in 17 countries in Africa. The programme will support off-grid solar companies to enter and grow in these underserved markets by providing flexible financing that matches the needs of the companies. The programme seeks to mobilise a blend of donor and private finance to deliver off-grid solar solutions to least developed communities via pay-as-you-go financing methods. The goal is to close a historically persistent energy gap in sub-Saharan countries, thereby contributing to a more just and inclusive energy systems transition.

Technical assistance through the GCF Project Preparation Facility (PPF) was deployed to support the Accredited Entity in the development of this project's funding proposal (FP).",2023-07-13T00:00:00+00:00,https://app.climatepolicyradar.org/document/hardest-to-reach_2168,Gender action plan for FP211: Hardest-to-Reach,https://app.climatepolicyradar.org/documents/gender-action-plan-for-fp211-hardest-to-reach_9038,https://cdn.climatepolicyradar.org/navigator/SLE/2023/hardest-to-reach_782d5e6a0ac9b238803d289a6ec60050.pdf,Gender action plan,n/a,BDI;BEN;BFA;COD;GIN;GNB;LBR;LSO;MOZ;MWI;NER;SLE;SOM;TCD;TGO;UGA;ZMB,MCF,English,GCF
,,Eighth Operational Phase of the GEF Small Grants Programme (Part 1),"SGP-OP8 builds on 30 years of successful experience in empowering local CSOs and CBOs in community driven initiatives that have enhanced wellbeing, increased awareness and resilience, and generated global environmental benefits. With economic development pressures intensifying in the developing world and the associated rising inequalities, local communities, particularly vulnerable and disadvantaged groups are becoming increasingly marginalized. The objective of Part 1 of SGP OP8 is to engage local CSOs/CBOs in landscape-seascape approaches across the 99 participating countries, providing them access to knowledge and information, capacitating them through learning-by-doing, skills development, and delivering technical and grant assistance for interventions that enhance socioeconomic conditions and generate global environmental benefits. In line with the GEF-8 SGP Implementation Arrangements Paper, core SGP resources are to be allocated equally among all eligible countries.

The proposed strategy, elaborated through four complementary outcomes, reflects the key features of GEF Small Grants Programme 2.0, including new approaches to support youth, women and Indigenous Peoples, linking up with complementary partnerships, cooperating with the two additional GEF agencies, and leveraging opportunities with other GEF programs. SGP-OP8 will facilitate opportunities for innovation and scaling up, catalyze multi-stakeholder alliances, and leverage dialogue platforms for greater impact.

An important comparative advantage of SGP is the focus on social inclusion and vulnerable groups, including women, Indigenous Peoples, persons with disabilities, the elderly and youth. Expected results under OP8-Part 1 include 225,000 ha of land and ecosystems under restoration, 3,800,000 ha of landscapes under improved practices, 90,000 ha of marine protected areas under improved management, 270,000 ha of marine habitat under improved practices, and 500,000 direct beneficiaries, of whom 250,000 are women.",2023-06-29T00:00:00+00:00,https://app.climatepolicyradar.org/document/eighth-operational-phase-of-the-gef-small-grants-programme-part-1_4199,Eighth Operational Phase of the GEF Small Grants Programme (Part 1),https://app.climatepolicyradar.org/documents/eighth-operational-phase-of-the-gef-small-grants-programme-part-1_2d54,https://cdn.climatepolicyradar.org/navigator/THA/2023/eighth-operational-phase-of-the-gef-small-grants-programme-part-1_762c3098c670e480ea375e4b5d51c47a.pdf,,n/a,ALB;ARG;ARM;ATG;BDI;BEN;BFA;BGD;BHS;BLZ;BRA;BRB;BTN;BWA;CAF;CIV;CMR;COG;COL;COM;CPV;CRI;CUB;DJI;DMA;DOM;DZA;ECU;EGY;ERI;ETH;FJI;FSM;GAB;GEO;GHA;GIN;GMB;GNB;GRD;GTM;HND;HTI;IND;JAM;JOR;KGZ;KHM;KIR;LAO;LBN;LBR;LCA;LSO;MAR;MDA;MDG;MDV;MKD;MLI;MNG;MOZ;MRT;MUS;NAM;NER;NGA;NPL;NRU;PAN;PHL;PLW;PRY;PSE;RWA;SEN;SLB;SLE;SLV;SUR;SYC;TGO;THA;TLS;TON;TTO;TUN;TUR;TZA;UGA;UKR;URY;VEN;VUT;WSM;XAB;ZAF;ZMB;ZWE,MCF,English,GEF
,,Uganda Energy Policy 2023,"<p>Uganda's Energy Policy from 2023 guides the long-term development of the energy sector, and acknowledges climate change as a major threat to mitigate and adapt to, balancing environmental sustainability with economic growth. It aims to achieve energy independence and net-exporter status within a decade, aided by renewables,nuclear and biomass electricity expansion, transport electrification and smart grid technology in combination with planned hydrocarbon exploitation.</p>",2023-04-01T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-energy-policy-2023_43b7,Uganda Energy Policy 2023,https://app.climatepolicyradar.org/documents/uganda-energy-policy-2023_25a9,https://cdn.climatepolicyradar.org/navigator/UGA/2023/uganda-energy-policy-2023_9b5b270091a707f32ff9255d9e753619.pdf,Policy,n/a,UGA,Executive,English,CCLW
,,Infrastructure Climate Resilient Fund (ICRF),"Climate change, such as rising temperatures, infrequent precipitation patterns and flooding, is threatening existing, and crucial yet-to-be-built, infrastructure in sub-Saharan Africa – a region already challenged by infrastructure low in quantity, quality, and accessibility. It is also heightening pre-existent investment barriers thereby putting at risk an entire regions opportunity of economic growth and development. The problem of financing climate-resilient infrastructure (CRI) in sub-Saharan Africa amounts to a financial summit of investment barriers that too few private investors are currently willing to scale.

To address the investment barriers of CRI investments in sub-Saharan Africa, GCF will provide USD 240 million in junior equity to the Infrastructure Climate Resilient Fund (ICRF). By supplying the catalytic first loss equity to catalyze investments from private sector investors and pension funds, the ICRF will be supporting the development of CRI projects in a region struggling to unlock such funding by itself. The USD 240 million investment will unlock the financial potential that can benefit up to 50 million people directly and 144 million people indirectly by securing them reliable infrastructure services.",2023-03-16T00:00:00+00:00,https://app.climatepolicyradar.org/document/infrastructure-climate-resilient-fund-icrf_a884,Gender assessment for FP205: Infrastructure Climate Resilient Fund (ICRF),https://app.climatepolicyradar.org/documents/gender-assessment-for-fp205-infrastructure-climate-resilient-fund-icrf_71c2,https://cdn.climatepolicyradar.org/navigator/ZMB/2023/infrastructure-climate-resilient-fund-icrf_890e93b5021a8c943b885f3968810e44.pdf,Gender assessment,n/a,AGO;BEN;BFA;CIV;CMR;COD;DJI;GAB;GHA;GIN;GMB;KEN;MLI;MRT;NAM;NGA;RWA;SEN;SLE;TCD;TGO;UGA;ZMB,MCF,English,GCF
,,Infrastructure Climate Resilient Fund (ICRF),"Climate change, such as rising temperatures, infrequent precipitation patterns and flooding, is threatening existing, and crucial yet-to-be-built, infrastructure in sub-Saharan Africa – a region already challenged by infrastructure low in quantity, quality, and accessibility. It is also heightening pre-existent investment barriers thereby putting at risk an entire regions opportunity of economic growth and development. The problem of financing climate-resilient infrastructure (CRI) in sub-Saharan Africa amounts to a financial summit of investment barriers that too few private investors are currently willing to scale.

To address the investment barriers of CRI investments in sub-Saharan Africa, GCF will provide USD 240 million in junior equity to the Infrastructure Climate Resilient Fund (ICRF). By supplying the catalytic first loss equity to catalyze investments from private sector investors and pension funds, the ICRF will be supporting the development of CRI projects in a region struggling to unlock such funding by itself. The USD 240 million investment will unlock the financial potential that can benefit up to 50 million people directly and 144 million people indirectly by securing them reliable infrastructure services.",2023-03-16T00:00:00+00:00,https://app.climatepolicyradar.org/document/infrastructure-climate-resilient-fund-icrf_a884,Infrastructure Climate Resilient Fund (ICRF),https://app.climatepolicyradar.org/documents/infrastructure-climate-resilient-fund-icrf_c1e3,https://cdn.climatepolicyradar.org/navigator/GHA/2023/infrastructure-climate-resilient-fund-icrf_620e8794dd3ce1f58cf268d5999a06fd.pdf,Approved funding proposal,n/a,AGO;BEN;BFA;CIV;CMR;COD;DJI;GAB;GHA;GIN;GMB;KEN;MLI;MRT;NAM;NGA;RWA;SEN;SLE;TCD;TGO;UGA;ZMB,MCF,English,GCF
,,Infrastructure Climate Resilient Fund (ICRF),"Climate change, such as rising temperatures, infrequent precipitation patterns and flooding, is threatening existing, and crucial yet-to-be-built, infrastructure in sub-Saharan Africa – a region already challenged by infrastructure low in quantity, quality, and accessibility. It is also heightening pre-existent investment barriers thereby putting at risk an entire regions opportunity of economic growth and development. The problem of financing climate-resilient infrastructure (CRI) in sub-Saharan Africa amounts to a financial summit of investment barriers that too few private investors are currently willing to scale.

To address the investment barriers of CRI investments in sub-Saharan Africa, GCF will provide USD 240 million in junior equity to the Infrastructure Climate Resilient Fund (ICRF). By supplying the catalytic first loss equity to catalyze investments from private sector investors and pension funds, the ICRF will be supporting the development of CRI projects in a region struggling to unlock such funding by itself. The USD 240 million investment will unlock the financial potential that can benefit up to 50 million people directly and 144 million people indirectly by securing them reliable infrastructure services.",2023-03-16T00:00:00+00:00,https://app.climatepolicyradar.org/document/infrastructure-climate-resilient-fund-icrf_a884,Gender action plan for FP205: Infrastructure Climate Resilient Fund (ICRF),https://app.climatepolicyradar.org/documents/gender-action-plan-for-fp205-infrastructure-climate-resilient-fund-icrf_f306,https://cdn.climatepolicyradar.org/navigator/GHA/2023/infrastructure-climate-resilient-fund-icrf_3b03c5834fae663a3e5531c75349822e.pdf,Gender action plan,n/a,AGO;BEN;BFA;CIV;CMR;COD;DJI;GAB;GHA;GIN;GMB;KEN;MLI;MRT;NAM;NGA;RWA;SEN;SLE;TCD;TGO;UGA;ZMB,MCF,English,GCF
,,Uganda Country Report. CR (2022),<p>Uganda Country Report. CR (2022)</p>,2023-03-16T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-country-report-cr-2022_88c2,Uganda Country Report. CR (2022),https://app.climatepolicyradar.org/documents/uganda-country-report-cr-2022_fa85,https://cdn.climatepolicyradar.org/navigator/UGA/2023/uganda-country-report-cr-2022_3047952c1147da0455f141734d8863fd.pdf,Country Report (CR),n/a,UGA,UN Submissions,English,UNCCD
,,"Enhancing Community Adaptation to Climate Change through Climate Resilient Flood Early Warning, Catchment Management and Wash Technologies in Mpologoma Catchment, Uganda","This project intends to build on the existing initiatives of Water Aid Uganda (WAU) in Eastern Uganda and undertake new interventions aimed at building the resilience of communities to climate change. The project will focus on strengthening institutional capacity for planning, designing, implementing and monitoring integrated Flood Early Warning systems (FEWS) and climate-smart WASH technologies. The project will be implemented in different sites upstream, midstream and downstream areas within Mpologoma catchment. These sites are considered to be most vulnerable and prone to floods and landslides and to climate change impacts. The overall goal of the project is to increase the resilience of communities to climate change risks of floods and landslides through timely response to climate hazards, sustainable community access to water, sanitation and hygiene services and integrated catchment management measures in Mpologoma catchment. The project aims to benefit 40,933 individuals and enhance 12 Early Warning Systems.",2022-10-14T00:00:00+00:00,https://app.climatepolicyradar.org/document/enhancing-community-adaptation-to-climate-change-through-climate-resilient-flood-early-warning-catchment-management-and-wash-technologies-in-mpologoma-catchment-uganda_9e62,Project concept,https://app.climatepolicyradar.org/documents/project-concept_26c0,https://cdn.climatepolicyradar.org/navigator/UGA/2022/enhancing-community-adaptation-to-climate-change-through-climate-resilient-flood-early-warning-catchment-management-and-wash-technologies-in-mpologoma-catchment-uganda_6b7a0bbdfd0bbfb981d6f4a24a59fd2c.pdf,,n/a,UGA,MCF,English,AF
,,"Enhancing Community Adaptation to Climate Change through Climate Resilient Flood Early Warning, Catchment Management and Wash Technologies in Mpologoma Catchment, Uganda","This project intends to build on the existing initiatives of Water Aid Uganda (WAU) in Eastern Uganda and undertake new interventions aimed at building the resilience of communities to climate change. The project will focus on strengthening institutional capacity for planning, designing, implementing and monitoring integrated Flood Early Warning systems (FEWS) and climate-smart WASH technologies. The project will be implemented in different sites upstream, midstream and downstream areas within Mpologoma catchment. These sites are considered to be most vulnerable and prone to floods and landslides and to climate change impacts. The overall goal of the project is to increase the resilience of communities to climate change risks of floods and landslides through timely response to climate hazards, sustainable community access to water, sanitation and hygiene services and integrated catchment management measures in Mpologoma catchment. The project aims to benefit 40,933 individuals and enhance 12 Early Warning Systems.",2022-10-14T00:00:00+00:00,https://app.climatepolicyradar.org/document/enhancing-community-adaptation-to-climate-change-through-climate-resilient-flood-early-warning-catchment-management-and-wash-technologies-in-mpologoma-catchment-uganda_9e62,Project document,https://app.climatepolicyradar.org/documents/project-document_e657,https://cdn.climatepolicyradar.org/navigator/UGA/2022/enhancing-community-adaptation-to-climate-change-through-climate-resilient-flood-early-warning-catchment-management-and-wash-technologies-in-mpologoma-catchment-uganda_ef4d38527e3b0a3793b148c3c6030d37.pdf,,n/a,UGA,MCF,English,AF
Uganda's Nationally Determined Contributions,,Uganda Nationally Determined Contribution. NDC1 (Updated 2022),"<p>Uganda's Updated NDC, Nationally Determined Contribution from Uganda in 2022</p>",2022-09-12T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-nationally-determined-contribution-ndc1-updated-2022_a3a2,Uganda Nationally Determined Contribution. NDC1 (Updated 2022),https://app.climatepolicyradar.org/documents/uganda-s-updated-ndc_a637,https://cdn.climatepolicyradar.org/navigator/UGA/1900/uganda-s-updated-ndc_dea2781f97331b4f362864f759454d50.pdf,Nationally Determined Contribution,n/a,UGA,UN Submissions,English,UNFCCC
Uganda's National Communications,,Uganda National Communication. NC3,"<p>Uganda. National Communication (NC). NC 3., National Communication from Uganda in 2022</p>",2022-08-03T00:00:00+00:00,https://app.climatepolicyradar.org/document/uganda-national-communication-nc3_df5c,Uganda National Communication. NC3,https://app.climatepolicyradar.org/documents/uganda-national-communication-nc-nc-3_fa71,https://cdn.climatepolicyradar.org/navigator/UGA/1900/uganda-national-communication-nc-nc-3_4910592ce85461d57f36e630c911e8a7.pdf,National Communication,n/a,UGA,UN Submissions,English,UNFCCC
,,Climate Investor Two,"The water cycle is one of the most important parts of the global climate crisis – when managed improperly untreated wastewater can be a source of carbon emissions; while coastal ecosystems can act as powerful ‘carbon sinks’. The imbalance between the water cycle and the climate is threatening many livelihoods, as growing economies and populations are reducing freshwater availability.  The World Health Organization estimates that there are 750 million people with no access to clean water, and 2.5 billion people lacking access to proper sanitation. Inadequate water and sanitation infrastructure are estimated to be related to 80 per cent of all illnesses in the developing world. In total, the World Bank estimates that by 2050, water shortages caused by climate change could reduce the GDP of developing countries in Asia by USD 4.4 trillion and developing countries in Africa by USD 1.6 trillion.  

Climate Investor Two (CI2) is a fund that aims to support the private sector to develop and construct climate-resilient infrastructure projects in developing countries in the water, sanitation, and ocean sectors – areas which usually do not attract interest from the private sector. The targeted investments under the fund will reduce the effects and consequences of climate change by decreasing greenhouse gas emissions and by increasing the resilience of vulnerable communities. For instance, in the water sector, CI2 will help countries, undergoing, or expected to undergo water stress, adapt to climate change by building infrastructure which sources, transports, and treats the water necessary for both municipal and industrial users. This is GCF’s first at-scale private sector programme in the water sector.",2022-07-20T00:00:00+00:00,https://app.climatepolicyradar.org/document/climate-investor-two_3923,2024 Annual Performance Report for FP190: Climate Investor Two,https://app.climatepolicyradar.org/documents/2024-annual-performance-report-for-fp190-climate-investor-two_bb24,https://cdn.climatepolicyradar.org/navigator/BGD/2022/climate-investor-two_be7516fec251015fba3625e498f08cdf.pdf,Annual Performance Report,n/a,BGD;BRA;BWA;CIV;COL;DJI;ECU;IDN;IND;KEN;MAR;MDG;MDV;NAM;NGA;PHL;SLE;UGA;ZAF,MCF,English,GCF
,,Climate Investor Two,"The water cycle is one of the most important parts of the global climate crisis – when managed improperly untreated wastewater can be a source of carbon emissions; while coastal ecosystems can act as powerful ‘carbon sinks’. The imbalance between the water cycle and the climate is threatening many livelihoods, as growing economies and populations are reducing freshwater availability.  The World Health Organization estimates that there are 750 million people with no access to clean water, and 2.5 billion people lacking access to proper sanitation. Inadequate water and sanitation infrastructure are estimated to be related to 80 per cent of all illnesses in the developing world. In total, the World Bank estimates that by 2050, water shortages caused by climate change could reduce the GDP of developing countries in Asia by USD 4.4 trillion and developing countries in Africa by USD 1.6 trillion.  

Climate Investor Two (CI2) is a fund that aims to support the private sector to develop and construct climate-resilient infrastructure projects in developing countries in the water, sanitation, and ocean sectors – areas which usually do not attract interest from the private sector. The targeted investments under the fund will reduce the effects and consequences of climate change by decreasing greenhouse gas emissions and by increasing the resilience of vulnerable communities. For instance, in the water sector, CI2 will help countries, undergoing, or expected to undergo water stress, adapt to climate change by building infrastructure which sources, transports, and treats the water necessary for both municipal and industrial users. This is GCF’s first at-scale private sector programme in the water sector.",2022-07-20T00:00:00+00:00,https://app.climatepolicyradar.org/document/climate-investor-two_3923,2023 Annual Performance Report for FP190: Climate Investor Two,https://app.climatepolicyradar.org/documents/2023-annual-performance-report-for-fp190-climate-investor-two_41aa,https://cdn.climatepolicyradar.org/navigator/BGD/2022/climate-investor-two_e98fddda95a7901a6ec3158e9285a57e.pdf,Annual Performance Report,n/a,BGD;BRA;BWA;CIV;COL;DJI;ECU;IDN;IND;KEN;MAR;MDG;MDV;NAM;NGA;PHL;SLE;UGA;ZAF,MCF,English,GCF
,,Climate Investor Two,"The water cycle is one of the most important parts of the global climate crisis – when managed improperly untreated wastewater can be a source of carbon emissions; while coastal ecosystems can act as powerful ‘carbon sinks’. The imbalance between the water cycle and the climate is threatening many livelihoods, as growing economies and populations are reducing freshwater availability.  The World Health Organization estimates that there are 750 million people with no access to clean water, and 2.5 billion people lacking access to proper sanitation. Inadequate water and sanitation infrastructure are estimated to be related to 80 per cent of all illnesses in the developing world. In total, the World Bank estimates that by 2050, water shortages caused by climate change could reduce the GDP of developing countries in Asia by USD 4.4 trillion and developing countries in Africa by USD 1.6 trillion.  

Climate Investor Two (CI2) is a fund that aims to support the private sector to develop and construct climate-resilient infrastructure projects in developing countries in the water, sanitation, and ocean sectors – areas which usually do not attract interest from the private sector. The targeted investments under the fund will reduce the effects and consequences of climate change by decreasing greenhouse gas emissions and by increasing the resilience of vulnerable communities. For instance, in the water sector, CI2 will help countries, undergoing, or expected to undergo water stress, adapt to climate change by building infrastructure which sources, transports, and treats the water necessary for both municipal and industrial users. This is GCF’s first at-scale private sector programme in the water sector.",2022-07-20T00:00:00+00:00,https://app.climatepolicyradar.org/document/climate-investor-two_3923,Climate Investor Two,https://app.climatepolicyradar.org/documents/climate-investor-two_26a2,https://cdn.climatepolicyradar.org/navigator/COL/2022/climate-investor-two_04342f8161ac3c48f7cae71ff3c10e92.pdf,Approved funding proposal,n/a,BGD;BRA;BWA;CIV;COL;DJI;ECU;IDN;IND;KEN;MAR;MDG;MDV;NAM;NGA;PHL;SLE;UGA;ZAF,MCF,English,GCF
